first,0승,0패,2018-10-30 07:22:36.826618
소환사,0승,0패,2018-10-30 07:22:44.054758
name,642W,587L,2018-10-30 07:23:05.409284
hello,192W,172L,2018-10-30 07:42:48.531401
hello,192W,172L,2018-10-30 07:42:51.519177
와장창,2W,8L,2018-10-30 07:42:59.967122
guest,43W,46L,2018-10-30 08:34:11.767897
